"class","apsig","perinc","pcygsig","mxy","fwx","fwy","neighbordist","new1sig","new2sig","sub1sig","sub2sig","sub2minsub1","dsub1sub2","holeinref","bigapratio","relfwx","relfwy","roundness","wiggliness"
"SN",0.240567,-0.439396,-0.000650587,0.0512564,-0.0789796,0.122689,0.00683791,0.146384,0.154212,0.0871767,0.0482586,-0.171391,-0.9346,0.0491666,-0.67322,-0.448134,-0.0381282,-0.969378,-0.946273
"SN",0.23424,-0.603975,0.16547,-0.00857095,-0.162399,0.125127,-0.200507,0.45378,0.101835,0.264572,-0.0678268,0.0101772,-0.928822,0.306773,-0.825342,-0.48223,-0.0287396,-0.982006,-0.698839
"SN",0.453138,-0.101764,0.213441,0.0426071,-0.169686,0.141171,-0.223553,0.35496,0.335819,0.308984,0.262743,-0.0392591,-0.980302,0.0821398,-0.722792,-0.508795,-0.0284312,-0.999478,-0.932033
"SN",0.38132,-0.405285,0.212652,0.0311515,-0.168164,0.125617,-0.0325694,0.311296,0.275819,0.256796,0.178305,-0.283949,-0.935388,0.191643,-0.815573,-0.455661,-0.00438308,-0.989618,-0.758043
"SN",0.226233,-0.0786035,0.129484,0.00718669,0.0846997,0.203697,0.0995454,0.0877465,0.0314908,0.0871184,0.00259546,-0.178837,-0.830397,-0.0428114,-0.848976,-0.184703,0.0616894,-0.957176,-0.754889
"SN",0.648386,0.12395,0.397453,0.0552263,-0.219673,0.1313,0.171679,0.54577,0.578892,0.530836,0.526295,-0.214728,-0.998821,-0.0404631,-0.839648,-0.522508,-0.0312777,-0.996135,-0.894277
"SN",0.171732,-0.343377,-0.211198,0.0302394,-0.22045,0.0692298,0.213189,0.108488,-0.0155672,0.06805,-0.0861278,-0.168306,-0.918032,-0.09246,-0.669558,-0.551471,-0.0793156,-0.982213,-0.78706
"SN",0.379105,-0.267265,0.185434,0.0316319,-0.171897,0.133985,-0.102309,0.315871,0.21096,0.285642,0.151311,-0.192887,-0.85475,0.0627252,-0.761285,-0.499531,-0.0193699,-0.999125,-0.911859
"SN",0.591387,-0.254301,0.345737,0.0167709,-0.22054,0.114729,0.0334293,0.568931,0.551273,0.511494,0.476917,-0.00545613,-0.983297,0.145859,-0.822068,-0.531645,-0.0340472,-0.998013,-0.923255
"SN",0.460024,0.00927254,0.203645,0.0391146,-0.204771,0.102849,0.215173,0.390385,0.334197,0.358798,0.282534,-0.126582,-0.903123,-0.00272739,-0.798799,-0.516798,-0.0285808,-0.995819,-0.909565
