County, Bush, Kerry
Addison, 7077, 11147
Bennington, 7616, 11069
Caledonia, 6765, 7106
Chittenden, 26422, 49369
Essex, 1591, 1276
Franklin, 8936, 10598
Grand Isle, 1754, 2246
Lamoille, 4260, 7636
Orange, 6421, 8159
Orleans, 5666, 6330
Rutland, 14440, 15904
Washington,11461, 19177
Windham, 7280, 15489
Windsor, 11491, 18561
