County, Bush, Kerry
Belknap, 17920, 14080
Carroll, 14614, 13319
Cheshire, 16463, 24438
Coos, 8143, 8585
Grafton, 20277, 26180
Hillsborough, 99724, 94121
Merrimack, 36060, 39975
Rockingham, 82069, 75437
Strafford, 25825, 32942
Sullivan, 10142, 11434
