"ADDISON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Walden,2,0.003,201,0.394,2,0.003,296,0.58,6,0.011,1,0.002,2,0.003,510
Waterford,4,0.005,389,0.555,1,0.001,291,0.415,13,0.018,1,0.001,1,0.001,700
Wheelock,3,0.009,149,0.477,1,0.003,151,0.484,5,0.016,1,0.003,2,0.006,312
,,,,,,,,,,,,,,,
"Caledonia County Totals",66,0.004,6765,0.476,30,0.002,7106,0.5,189,0.013,14,0.001,41,0.002,14211
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CHITTENDEN COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Bolton,5,0.007,234,0.37,0,0,384,0.608,8,0.012,0,0,0,0,631
"Burlington - Chittenden 3-1",12,0.003,1301,0.329,3,0,2564,0.648,59,0.014,3,0,10,0.002,3952
"Burlington - Chittenden 3-2",6,0.002,682,0.32,1,0,1393,0.655,36,0.016,1,0,7,0.003,2126
"Burlington - Chittenden 3-3",26,0.006,499,0.12,10,0.002,3403,0.819,194,0.046,2,0,20,0.004,4154
"Burlington - Chittenden 3-4",13,0.003,436,0.126,3,0,2826,0.817,156,0.045,3,0,19,0.005,3456
"Burlington - Chittenden 3-5",23,0.004,1008,0.203,2,0,3770,0.761,129,0.026,5,0.001,15,0.003,4952
"Burlington - Chittenden 3-6",4,0.006,109,0.172,0,0,512,0.808,8,0.012,0,0,0,0,633
Charlotte,12,0.005,707,0.306,0,0,1548,0.67,33,0.014,3,0.001,7,0.003,2310
"Colchester - Chittenden 7-1",16,0.004,1354,0.385,2,0,2100,0.597,36,0.01,2,0,7,0.002,3517
"Colchester - Chittenden 7-2",0,0,1772,0.428,0,0,2306,0.557,47,0.011,3,0,12,0.002,4140
"Essex - Chittenden 6-1",10,0.002,1766,0.433,0,0,2257,0.553,33,0.008,1,0,9,0.002,4076
"Essex - Chittenden 6-2",16,0.003,2001,0.412,2,0,2746,0.565,70,0.014,3,0,15,0.003,4853
"Essex - Chittenden 6-3",4,0.002,582,0.426,1,0,757,0.554,13,0.009,0,0,9,0.006,1366
"Hinesburg - Chittenden 1-1",16,0.007,772,0.34,0,0,1428,0.63,40,0.017,2,0,7,0.003,2265
"Hinesburg - Chittenden 1-2",0,0,32,0.359,0,0,56,0.629,1,0.011,0,0,0,0,89
Huntington,6,0.005,334,0.312,0,0,706,0.661,20,0.018,2,0.001,0,0,1068
Jericho,16,0.005,1129,0.377,0,0,1804,0.602,33,0.011,4,0.001,8,0.002,2994
"Milton - Chittenden-9",4,0.001,1909,0.5,1,0,1840,0.482,51,0.013,4,0.001,6,0.001,3815
"Milton - Grand Isle-Chittenden 1-1",3,0.004,344,0.53,0,0,290,0.446,8,0.012,1,0.001,3,0.004,649
Richmond,11,0.004,848,0.349,1,0,1532,0.631,25,0.01,1,0,9,0.003,2427
"St. George",0,0,145,0.444,0,0,176,0.539,3,0.009,0,0,2,0.006,326
"Shelburne - Chittenden 5-1",2,0,739,0.315,2,0,1568,0.669,27,0.011,0,0,5,0.002,2343
"Shelburne - Chittenden 5-2",3,0.001,754,0.372,0,0,1232,0.607,30,0.014,3,0.001,5,0.002,2027
"South Burlington - Chittenden 3-7",3,0.001,685,0.319,3,0.001,1426,0.665,19,0.008,0,0,7,0.003,2143
"South Burlington - Chittenden 3-8",9,0.003,1126,0.392,0,0,1697,0.591,30,0.01,0,0,5,0.001,2867
"South Burlington - Chittenden 3-9",10,0.004,818,0.394,0,0,1208,0.582,29,0.014,1,0,7,0.003,2073
"South Burlington - Chittenden 3-10",6,0.003,600,0.314,1,0,1278,0.668,21,0.011,1,0,4,0.002,1911
Underhill,8,0.004,649,0.334,0,0,1249,0.643,29,0.014,0,0,6,0.003,1941
Westford,3,0.002,375,0.344,0,0,690,0.634,16,0.014,1,0,3,0.002,1088
Williston,24,0.004,1931,0.388,0,0,2938,0.59,60,0.012,2,0,20,0.004,4975
Winooski,11,0.004,781,0.308,1,0,1685,0.666,42,0.016,2,0,7,0.002,2529
,,,,,,,,,,,,,,,
