FRA,"NEW VINEYARD"
FRA,"PERKINS TWP."
FRA,PHILLIPS
FRA,"RANGELEY PLT."
FRA,RANGELEY
FRA,"SANDY RIVER PLT."
FRA,STRONG
FRA,TEMPLE
FRA,WELD
FRA,WILTON
HAN,AMHERST
HAN,AURORA
HAN,"BAR HARBOR"
HAN,"BLUE HILL"
HAN,BROOKLIN
HAN,BROOKSVILLE
HAN,BUCKSPORT
HAN,CASTINE
HAN,"CRANBERRY ISLES"
HAN,DEDHAM
HAN,"DEER ISLE"
HAN,"DTT9 T10 TWP"
HAN,EASTBROOK
HAN,ELLSWORTH
HAN,FRANKLIN
HAN,FRENCHBORO
HAN,GOULDSBORO
HAN,"GREAT POND"
HAN,HANCOCK
HAN,LAMOINE
HAN,MARIAVILLE
HAN,"MOUNT DESERT"
HAN,"TOWNSHIP 8, S.D."
HAN,ORLAND
HAN,OSBORN
HAN,OTIS
HAN,PENOBSCOT
HAN,SEDGWICK
HAN,SORRENTO
HAN,"SOUTHWEST HARBOR"
HAN,STONINGTON
HAN,SULLIVAN
HAN,SURRY
HAN,"SWAN'S ISLAND"
HAN,"T3 ND TWP"
HAN,TREMONT
HAN,TRENTON
HAN,"VERONA"
HAN,WALTHAM
HAN,"WINTER HARBOR"
KEN,BENTON
KEN,CLINTON
KEN,FAYETTE
KEN,LITCHFIELD
KEN,OAKLAND
KEN,WATERVILLE
KEN,WAYNE
KEN,WINSLOW
OXF,"ALBANY TWP."
OXF,ANDOVER
OXF,BETHEL
OXF,BROWNFIELD
OXF,BUCKFIELD
OXF,BYRON
OXF,CANTON
OXF,DENMARK
OXF,DIXFIELD
OXF,FRYEBURG
OXF,GILEAD
OXF,GREENWOOD
OXF,HANOVER
OXF,HARTFORD
OXF,HEBRON
OXF,HIRAM
OXF,"LINCOLN PLT."
OXF,LOVELL
OXF,"MAGALLOWAY PLT."
OXF,MEXICO
OXF,"MILTON TWP."
OXF,NEWRY
OXF,NORWAY
OXF,OTISFIELD
OXF,OXFORD
OXF,PARIS
OXF,PERU
OXF,PORTER
OXF,ROXBURY
OXF,RUMFORD
OXF,STONEHAM
