County, Bush, Kerry
androscoggin, 24453, 30345
aroostook, 17726, 19539
cumberland, 65184, 94699
franklin, 7355, 9464
hancock, 14385, 18037
kennebec, 29577, 34051
knox, 10103, 12693
lincoln, 10370, 11351
oxford, 14368, 16829
penobscot, 40189, 40285
piscataquis, 5261, 4378
sagadahoc, 10063, 11688
somerset, 12951, 13555
waldo, 10309, 11554
washington, 8621, 8398
york, 49501, 58596
