County,  Bush, Kerry
Barnstable, 58527, 72156
Berkshire, 16806, 47743 
Bristol, 82524, 147854
Dukes, 2602, 7265
Essex, 135114, 194068
Franklin, 11058,25550
Hampden, 70925, 113710
Hampshire, 21315, 51680
Middlesex, 237815, 440862
Nantucket, 2040, 3608
Norfolk, 127763, 199392
Plymouth, 105603, 125178
Suffolk, 54923, 182592
Worcester, 144094, 192142
